#RNA-seq raw count
len_rna	es1_rna	es2_rna	es3_rna	npc1_rna	npc2_rna	npc3_rna
DHRS4L2	2516	88	83	38	96	102	105
AL136419.1	1382	1	2	0	0	5	0
AL136419.3	2768	0	2	0	0	5	0
DHRS4L1	1272	4	1	0	0	2	9
CARMIL3	6657	174	263	114	79	83	59
CPNE6	5996	2	0	0	0	0	0
NRL	3113	22	37	17	23	32	31
PCK2	4189	1624	2140	941	1162	1611	1386
DCAF11	6350	2281	2883	1719	2482	3179	2746
AL136295.3	850	0	0	0	0	0	0
FITM1	1355	1	2	2	1	3	7
PSME1	1776	1171	1522	1179	791	1078	878
EMC9	1591	256	371	166	210	271	239
AL136295.2	747	0	0	2	2	3	1
PSME2	3582	1422	1731	1302	1148	1587	1480
MIR7703	77	0	0	0	0	0	0
RNF31	5056	31	46	24	73	85	89
AL136295.5	5574	11	11	8	13	17	12
RNA5SP383	120	5	3	0	4	14	6
IRF9	3794	28	28	30	60	73	70
REC8	3844	488	619	257	698	955	830
IPO4	4912	26	30	16	35	39	44
AL136295.4	4351	4	3	0	7	10	2
AL136295.17	1219	6	1	1	4	4	6
TM9SF1	3530	91	125	68	189	211	204
AL136295.1	2740	0	0	0	0	1	0
AL136295.6	658	7	16	6	31	27	22
AL136295.7	1200	49	52	38	80	106	120
TSSK4	1924	2	0	3	6	5	7
CHMP4A	2413	40	46	38	69	101	88
AL096870.3	3045	13	14	8	18	17	25
MDP1	1066	1	6	0	3	3	2
NEDD8-MDP1	1051	0	0	0	0	0	0
NEDD8	3787	1033	1542	526	1176	1485	1324
GMPR2	3640	1897	2345	1739	2062	2733	2514
AL096870.1	2712	606	810	573	1233	1631	1499
TGM1	3735	25	19	10	86	113	75
RABGGTA	3545	243	405	127	419	567	466
AL096870.10	331	2	15	2	14	14	7
AL096870.8	1217	12	33	37	36	55	54
DHRS1	4949	141	187	98	254	395	318
NOP9	6045	3718	4527	3528	3498	4529	4279
CIDEB	3198	0	3	0	0	0	1
LTB4R2	3233	86	97	73	190	189	178
LTB4R	4465	82	112	106	254	329	292
ADCY4	8067	4	3	2	15	4	8
AL096870.2	930	0	0	0	0	0	0
RIPK3	3229	3	6	1	7	2	0
NFATC4	8437	362	541	210	2790	3420	3219
NYNRIN	7733	2364	2895	1718	4055	5204	4410
CBLN3	2562	11	27	3	18	11	23
KHNYN	8024	1316	1613	1272	3308	4307	3975
SDR39U1	3099	573	821	335	827	1068	943
AL132800.1	3267	44	63	68	69	133	123
CMA1	937	0	0	0	0	0	0
CTSG	1368	0	0	0	0	0	0
AL136018.1	947	0	0	0	0	0	0
GZMH	951	0	0	0	0	0	0
GZMB	1411	0	0	0	0	0	0
STXBP6	8067	151	142	128	110	121	120
AL161663.2	1676	0	0	0	0	0	0
AL161663.1	1190	0	0	0	0	0	0
LINC02286	1005	0	0	0	0	0	0
HMGN2P6	273	1	1	0	1	1	2
OR7K1P	926	0	0	0	0	0	0
AL079352.1	1042	0	0	0	0	0	0
LINC02306	3591	0	0	0	0	2	0
AL359396.1	2376	0	0	0	0	0	0
AL132633.1	4532	0	0	0	0	0	0
CYB5AP5	389	0	0	0	0	0	0
NOVA1	10328	196	258	194	331	396	367
AL079343.1	1771	8	12	7	9	27	25
LINC02588	5122	7	7	5	9	21	12
AL110292.1	5251	0	0	0	0	0	0
LINC02294	497	0	0	0	0	0	0
LINC02293	4209	1	2	0	0	1	3
AL132718.1	716	0	0	0	0	0	0
MIR4307HG	3614	0	0	0	0	0	0
MIR4307	84	0	0	0	0	0	0
AL390334.1	1666	15	34	10	60	52	75
LINC00645	4532	0	0	0	0	0	0
MIR3171	74	0	0	0	0	2	0
BNIP3P1	1585	0	0	0	1	0	5
AL139023.1	508	1	1	1	0	2	3
RPL26P3	453	0	0	0	0	0	0
LINC02300	665	0	0	0	0	0	0
EIF4A1P12	141	0	0	0	0	0	1
BTF3P2	487	0	0	0	0	0	0
FOXG1-AS1	4522	0	0	0	5	7	8
FOXG1	5358	2	1	0	228	294	256
LINC01551	10751	0	0	0	9	9	12
LINC02282	2248	2	5	2	0	0	0
LINC02281	427	0	0	0	0	0	0
LINC02327	5391	0	0	0	0	0	0
AL122126.1	1318	0	0	0	0	0	0
LINC02326	2242	0	0	0	1	0	2
AL135878.1	7923	0	0	0	0	2	0
RNU6-864P	108	0	0	0	0	0	0
AL133166.1	12384	0	0	0	2	5	6
AL158058.1	1114	0	0	0	0	2	3
AL158058.2	4968	0	0	0	0	1	0
RNU11-5P	129	0	0	0	0	0	0
PRKD1	5221	202	180	206	389	518	475
AL356756.1	551	0	0	0	0	0	0
RNU6-1234P	103	0	0	0	0	0	0
AL355053.1	1115	2	0	3	4	2	4
AL133372.3	821	0	0	0	0	0	0
AL133372.2	1774	0	0	0	1	5	0
AL133372.1	745	0	0	0	0	0	0
AL079305.1	3008	0	0	0	0	0	1
G2E3-AS1	1669	3	2	0	1	0	1
SYF2P1	413	0	0	0	0	0	0
G2E3	9319	787	1041	1123	1040	1471	1609
SCFD1	6571	627	754	925	1023	1316	1361
UBE2CP1	554	0	0	0	2	0	0
AL121852.1	430	0	0	0	0	0	0
RPL12P5	392	0	0	0	0	0	0
AL049830.2	201	0	0	0	0	0	0
AL049830.1	425	0	0	0	0	0	0
COCH	4031	338	372	440	525	678	670
AL049830.3	2819	6	11	9	11	8	5
STRN3	4965	660	809	1025	1329	1637	1799
HIGD1AP17	276	0	0	0	0	0	0
MIR624	97	5	5	0	7	6	5
AL049830.4	351	0	0	0	0	0	0
AP4S1	7223	206	272	255	201	295	334
HECTD1	12557	2543	3026	3586	3478	4872	4934
RPL21P5	472	0	3	0	0	3	0
RNU6-541P	110	0	0	0	0	0	0
AL136418.1	975	0	0	0	0	0	0
HEATR5A	10214	616	702	799	385	519	486
AL139353.3	411	1	0	0	0	1	3
AL139353.1	4422	5	8	7	2	3	6
AL139353.2	3752	3	3	5	4	2	0
DTD2	2967	258	300	296	98	161	157
AL163973.1	577	0	0	0	0	0	0
GPR33	1343	0	0	0	0	0	0
NUBPL	7590	319	363	423	346	515	464
AL163973.3	430	0	0	0	0	0	0
AL163973.2	288	1	0	1	0	6	0
RNU6-602P	105	0	0	0	0	0	0
RNU6-455P	107	0	0	0	0	0	0
AL355112.1	1236	0	0	0	0	0	0
LINC02313	550	0	0	0	0	0	1
AL352984.2	546	0	0	0	0	0	0
AL352984.1	276	0	0	0	0	2	0
ARHGAP5-AS1	1848	66	64	55	101	129	159
ARHGAP5	10888	1023	1270	1769	3149	4360	4555
AL161665.1	3938	0	0	0	0	0	0
AL161665.2	1304	1	0	2	1	0	0
RNU6-7	107	0	0	0	0	0	0
RNU6-8	107	0	1	0	0	0	0
AL136298.2	1570	0	0	0	0	0	0
AL136298.3	445	0	0	0	2	0	0
AKAP6	19726	22	36	46	64	76	80
AL136298.1	928	0	0	0	0	0	0
RN7SL660P	299	1	0	0	0	0	0
MTCO1P2	703	0	0	0	0	0	0
AL049781.1	3585	0	0	0	0	0	0
NPAS3	9241	209	269	221	90	108	109
AL161851.1	651	0	0	0	0	0	0
AL161851.2	526	0	0	0	0	2	0
EGLN3	7359	549	675	522	1128	1493	1374
EGLN3-AS1	308	0	0	0	0	0	0
AL356806.1	916	0	0	0	0	3	2
SPTSSA	2662	459	565	542	499	552	575
RPL23AP71	469	0	0	0	0	0	0
EAPP	2021	467	539	763	959	1434	1353
AL445363.3	671	0	0	0	0	1	0
AL445363.1	1324	0	0	0	0	0	0
RNU1-27P	164	1	5	0	4	13	6
RNU1-28P	164	0	4	0	5	11	4
AL445363.2	1137	0	0	0	0	0	0
SNX6	4105	986	1163	1310	1348	1927	1992
RPS19P3	441	4	3	4	2	4	9
RNU6-1261P	104	0	0	0	0	0	0
RPL23AP8	475	2	5	1	3	4	2
CFL2	7179	326	377	348	432	649	604
RPL12P6	498	4	2	1	3	6	7
BAZ1A	7698	1170	1487	1794	435	613	614
RNU7-41P	61	1	2	0	0	0	0
AL121603.2	2117	52	87	54	19	30	37
SRP54-AS1	1531	27	28	22	100	153	125
AL121603.1	142	0	0	0	0	0	0
IGBP1P1	1009	0	0	0	0	0	0
SRP54	3903	599	731	862	984	1595	1583
FAM177A1	8385	313	409	522	510	649	685
PPP2R3C	3863	368	417	519	337	561	525
AL049776.1	2025	0	5	3	9	15	8
KIAA0391	6982	177	218	216	193	313	314
AL121594.1	3857	0	3	0	0	1	2
RPL23AP70	460	0	0	0	0	0	0
SEPT7P1	1196	0	0	0	0	0	0
MRPL57P8	261	0	0	0	0	0	0
DPRXP3	573	1	1	3	0	6	7
RPL7AP3	472	0	0	0	0	0	0
RPL9P3	575	3	1	1	3	3	1
PSMA6	6506	115	162	100	169	268	209
AL133163.2	624	0	0	0	0	0	0
AL133163.1	949	4	6	3	0	0	1
NFKBIA	2373	621	783	513	642	863	743
DNAJC8P1	372	1	0	0	0	0	0
AL133163.3	504	0	0	0	0	0	1
RPS3AP4	764	0	0	0	0	0	0
KRT18P6	1265	0	0	0	0	0	0
INSM2	2891	1	1	0	1	4	2
RALGAPA1	14258	704	864	939	1046	1328	1354
QRSL1P3	1316	0	0	0	0	0	0
AL162311.3	2867	0	1	0	1	0	1
NUTF2P2	384	0	0	0	0	0	0
BRMS1L	3877	155	183	221	172	268	254
AL162311.1	601	3	0	2	4	4	3
AL162311.2	709	5	0	0	1	0	6
AL133304.3	3431	0	0	0	1	1	1
AL133304.1	549	0	0	0	0	0	0
ILF2P2	1117	0	0	0	0	0	0
AL133304.2	886	0	0	0	0	0	0
LINC00609	583	0	0	0	1	0	0
PTCSC3	571	0	0	0	0	0	0
AL162511.1	2286	0	0	0	0	1	0
RN7SKP21	220	0	0	0	0	0	0
MBIP	3423	211	307	373	354	514	528
AL132857.1	2073	0	1	2	0	0	5
DPPA3P2	1219	1	4	5	0	1	0
RNU7-93P	61	0	0	0	0	0	0
SFTA3	3243	0	0	0	3	0	0
NKX2-1	3165	0	0	0	0	0	1
NKX2-1-AS1	1775	0	0	0	0	0	0
PHKBP2	708	0	0	0	0	0	0
RPL29P3	463	0	0	0	0	0	0
NKX2-8	1261	0	1	1	0	0	0
RN7SKP257	309	0	0	0	0	0	0
AL079303.1	2613	0	0	0	0	0	0
PAX9	6035	0	2	0	1	0	2
SLC25A21	3703	109	212	187	112	133	135
AL162464.2	526	0	0	0	0	0	0
AL162464.1	554	0	0	0	0	0	0
MIR4503	83	0	0	0	0	0	0
AL079304.1	828	3	6	6	5	0	3
SLC25A21-AS1	1924	30	34	27	86	106	81
RNU6-273P	96	0	0	0	0	0	0
MIPOL1	20250	177	261	307	157	281	237
RNU6-886P	105	0	0	0	0	0	0
AL121790.2	532	0	0	0	0	0	0
AL121790.1	738	2	1	2	5	4	4
FOXA1	4414	8	12	4	23	20	20
TTC6	8361	7	4	0	3	2	4
RNU6-1277P	107	0	0	0	0	0	0
LINC00517	4125	3	2	0	0	0	0
AL359233.1	364	4	2	3	0	0	0
AL392023.2	1153	21	25	14	2	3	1
AL392023.1	531	163	243	99	2	4	0
SSTR1	4390	70	65	56	1	2	4
CLEC14A	2267	9	4	1	7	6	3
AL355835.1	1865	0	1	0	0	1	0
AL357094.1	844	0	0	0	0	0	0
KRT8P1	1207	0	0	0	0	0	0
LINC00639	9452	14	19	2	14	6	20
AL132994.1	400	0	0	0	0	0	0
AL132994.2	687	1	0	0	0	1	0
SEC23A	8660	1572	1766	1841	1772	2319	2439
AL109628.1	201	0	0	0	0	0	0
SEC23A-AS1	500	6	14	2	8	16	13
PPIAP4	366	1	0	0	0	1	1
GEMIN2	2757	359	370	395	391	571	652
TRAPPC6B	4533	338	419	469	479	681	651
AL109628.2	3154	1	0	0	2	1	7
RPL7AP2	740	0	0	0	0	0	0
AL132639.3	530	5	1	6	3	1	4
PNN	4203	1037	1359	1520	1434	1832	1763
AL132639.1	475	0	0	0	1	0	0
YTHDF2P1	1271	2	0	0	0	3	2
MIA2	10539	207	222	277	308	435	457
AL132639.2	1359	2	4	4	2	4	7
AL157791.2	478	0	0	0	0	0	0
AL157791.1	1699	0	0	0	0	0	0
FBXO33	3853	211	326	286	518	672	704
AL049828.1	14138	67	59	77	157	202	214
AL049828.2	869	21	26	12	18	22	18
AL390800.1	5098	7	17	15	18	41	33
LINC02315	1136	75	130	95	172	213	237
AL391516.1	2449	0	2	4	3	5	9
AL356596.1	379	0	0	0	0	0	0
AL121821.2	394	0	0	0	0	0	0
AL121821.1	4933	88	129	122	15	39	25
LRFN5	6140	468	521	388	33	41	50
FKBP1BP1	325	3	10	6	0	0	0
AL445074.1	318	0	0	0	0	0	0
AL442163.1	515	2	0	0	1	0	5
AL450442.1	854	0	0	0	0	2	0
AL442163.2	710	0	0	0	0	0	1
AL442163.3	156	0	0	0	0	0	0
AL356800.1	735	0	0	0	0	0	0
AL163153.1	283	0	0	0	0	0	0
AL445383.1	874	0	0	0	0	0	0
HNRNPUP1	333	1	1	3	0	3	7
AL583809.1	697	0	0	0	0	0	0
KRT8P2	944	0	0	0	0	0	0
AL358913.1	121	0	0	0	0	0	0
AL358913.2	1548	0	0	0	0	0	0
LINC02307	826	0	0	1	0	0	0
EIF4BP1	351	0	0	0	0	0	0
AL109766.1	552	1	0	0	1	1	0
YWHAZP1	722	0	1	0	0	0	0
AL161752.1	268	0	0	0	0	0	0
LINC02277	704	0	0	0	0	0	0
FSCB	2938	0	0	0	0	0	0
AL356022.1	1165	0	0	0	0	0	0
LINC02302	3009	0	0	0	0	1	0
DOCK11P1	5932	0	0	0	2	1	0
AL049870.2	693	0	1	0	2	1	5
AL049870.1	308	0	0	0	0	0	0
AL049870.4	486	0	0	0	0	0	0
C14orf28	3884	25	49	61	96	148	140
AL049870.3	360	0	0	0	0	0	0
KLHL28	8076	208	241	264	531	580	621
TOGARAM1	10292	328	407	292	678	906	810
AL121809.2	341	0	0	1	0	0	0
AL121809.1	849	1	0	0	0	3	2
PRPF39	4932	424	495	460	563	774	806
RF00151	66	15	12	8	17	23	18
SNORD127	86	4	3	4	8	8	8
FKBP3	2263	604	919	714	869	1340	1283
FANCM	8478	234	293	396	327	424	512
MIS18BP1	6250	749	879	1019	649	912	928
RNU6-552P	119	0	0	0	0	0	0
DNAJC19P9	351	0	0	0	1	0	0
AL162632.3	1625	0	1	0	0	2	0
AL162632.1	548	2	0	0	0	0	2
AL162632.2	399	0	0	0	0	0	0
AL139354.1	645	0	1	0	0	0	0
LINC02303	1144	0	0	0	0	0	0
LINC00871	1746	1	6	5	0	2	7
RPL10L	812	0	0	0	0	0	0
MDGA2	8404	94	134	175	4	5	8
RPA2P1	721	0	0	0	0	0	0
RPL13AP2	530	0	0	0	0	0	0
RPS15AP3	389	0	0	1	0	0	0
MIR548Y	110	0	0	0	3	1	1
LINC00648	3253	61	77	49	112	162	130
AL121576.1	276	0	0	2	0	0	3
AL359212.1	614	0	0	0	0	0	0
AL512358.1	816	3	0	0	0	0	0
AL512358.2	512	30	34	26	0	1	0
AL358335.3	327	0	0	0	0	0	0
RNU6-297P	107	0	0	0	0	0	0
AL358335.2	873	1	1	0	1	0	0
AL358335.1	1066	2	1	0	0	0	0
RPL18P1	552	0	0	0	0	0	0
AL512360.1	234	0	0	0	0	0	0
AL110505.1	522	0	0	0	0	0	0
AL512361.1	418	0	0	0	0	0	0
RNA5SP384	116	0	0	0	0	0	0
RPS29	9845	1148	1490	782	1669	2498	2057
RPL32P29	403	0	0	0	0	0	0
RN7SL1	299	78046	91778	13582	147642	228667	205843
LRR1	2295	406	562	440	371	591	507
RHOQP1	579	5	9	4	9	14	10
AL139099.3	114	0	0	0	0	0	0
RPL36AL	746	343	494	274	245	311	314
MGAT2	2687	660	763	748	835	1070	1119
AL139099.1	2469	4	1	1	6	0	6
DNAAF2	2963	454	692	664	432	521	486
AL139099.2	401	9	6	2	4	4	5
POLE2	2955	435	562	588	565	792	741
AL591767.3	525	0	0	0	0	0	0
AL591767.2	173	0	0	0	0	0	0
RNU6ATAC30P	122	0	0	0	0	0	0
KLHDC1	3004	0	0	0	5	7	6
AL591767.1	568	0	0	0	0	0	0
KLHDC2	6319	1157	1343	1329	1428	1980	1949
NEMF	9044	330	411	447	750	898	950
RNU6-539P	103	0	0	0	0	0	0
RN7SL3	299	2362	2764	631	2824	4106	3630
AL627171.2	2034	12	17	9	6	17	17
RN7SL2	300	0	0	0	0	0	0
AL627171.1	1308	7	16	4	8	20	9
ARF6	3875	1627	2119	2105	1414	2040	2020
RNU6-189P	101	0	0	0	0	0	0
LINC01588	17543	6	5	5	3	28	7
MIR6076	113	0	0	0	0	0	0
PDLIM1P1	969	0	0	0	0	2	0
AL117692.1	713	0	0	0	0	0	0
RN7SKP193	306	0	0	0	0	0	0
VCPKMT	2055	164	147	205	274	338	325
SOS2	6948	321	349	475	623	874	871
L2HGDH	6560	649	818	797	770	1118	1011
MIR4504	92	2	3	3	4	12	7
DMAC2L	11297	332	410	405	455	716	673
AL359397.2	446	6	2	0	8	8	14
CDKL1	6149	26	39	25	80	145	114
AL359397.1	501	3	3	10	11	19	24
MAP4K5	7620	506	692	819	997	1232	1277
AL118556.1	502	0	0	0	0	0	0
AL118556.2	824	0	0	0	0	0	0
ATL1	4360	152	162	160	99	126	126
SNRPGP1	222	0	0	0	0	0	0
SAV1	5630	1183	1468	1426	1258	1719	1841
RN7SL452P	291	1	2	3	0	0	3
AL606834.1	668	37	40	38	34	43	50
ZFP64P1	1169	0	0	0	0	0	0
NIN	13683	721	893	824	698	950	867
AL606834.2	496	5	6	15	2	4	6
AL133485.1	392	0	0	0	0	0	1
AL133485.2	2430	2	6	1	6	8	4
RF00593	88	0	0	0	0	0	0
AL358334.1	174	0	0	0	0	0	0
PYGL	4546	2237	2887	2356	1310	1867	1736
ABHD12B	4551	406	557	462	4	6	13
AL358334.3	535	1	0	4	0	0	0
AL358334.2	4714	0	0	0	0	0	0
TRIM9	8945	183	262	169	102	118	118
AL358334.4	2690	0	0	0	0	0	0
AL591770.1	1131	0	0	0	0	0	0
TMX1	4608	1064	1315	1563	870	1168	1140
LINC00519	1068	0	0	0	0	0	0
LINC00640	2519	4	7	0	12	1	8
AL358332.1	813	0	0	0	0	0	0
LINC02310	572	0	0	0	0	0	0
SETP2	926	0	0	1	0	0	0
FRMD6-AS2	917	0	0	0	0	0	0
FRMD6	9416	274	373	435	789	1090	1068
RNU6-1291P	104	0	0	0	1	0	0
AL122125.1	600	1	0	1	2	2	3
FRMD6-AS1	2229	8	17	11	32	36	26
RNA5SP385	110	0	1	0	1	0	0
RNU6-301P	107	0	0	0	5	0	4
AL079307.2	448	0	0	0	0	0	0
OR7E105P	993	0	0	0	0	0	0
OR7E106P	1021	0	0	0	0	0	0
AL079307.1	5982	1	2	0	0	0	0
OR7E159P	298	0	0	0	0	0	0
AL079307.3	283	0	0	0	0	0	0
GNG2	6379	278	422	366	214	294	245
AL358333.2	529	0	0	0	0	0	0
AL358333.3	479	0	0	0	0	0	0
AL358333.1	467	0	0	0	0	0	0
RTRAF	8287	2427	3178	2757	2949	3571	3880
NID2	6392	213	281	178	190	231	197
LINC02319	349	0	0	0	0	0	0
COX5AP2	394	0	0	0	0	0	0
AL118557.1	440	0	0	0	0	0	0
PTGDR	3033	8	2	2	0	0	1
AL365475.1	1949	0	1	0	0	0	0
PTGER2	2465	10	22	17	0	0	1
TXNDC16	4733	289	432	439	514	646	706
GPR137C	6505	113	121	96	129	196	230
ERO1A	7549	759	916	1166	1801	2231	2281
AL133453.1	581	0	2	0	0	0	1
PSMC6	7479	957	1182	1385	1090	1516	1430
STYX	4983	838	1049	1067	970	1264	1202
GNPNAT1	4010	1127	1447	1847	2470	3329	3504
AL139317.3	1426	6	3	10	13	16	16
AL139317.5	6878	2	4	1	7	9	14
AL139317.1	196	0	0	0	0	0	0
AL139317.2	158	0	0	0	0	0	0
FERMT2	8463	1380	1756	1814	4788	6374	6506
AL139317.4	760	0	0	0	0	0	0
AL352979.4	1433	6	8	10	18	23	23
AL352979.1	297	0	0	0	0	0	0
AL352979.3	247	0	0	0	0	0	0
DDHD1	17944	497	623	716	620	815	905
AL352979.2	366	0	0	0	0	0	0
AL356020.1	1076	4	2	1	3	5	0
AL365295.1	14459	42	26	46	25	51	68
AL365295.2	1156	0	0	0	0	0	0
AL163953.1	726	0	0	0	1	0	0
RPS3AP46	682	1	0	0	0	0	0
LINC02331	2312	0	0	0	0	0	0
AL138479.1	484	0	0	0	0	0	0
MIR5580	58	0	0	0	0	1	0
BMP4	3096	148	176	99	516	681	702
AL138479.2	2032	3	0	1	2	1	7
ATP5F1CP1	895	1	0	0	0	0	0
CDKN3	1836	252	419	345	310	458	466
CNIH1	5019	991	1266	1262	1872	2484	2650
AL359792.1	385	0	0	0	0	0	0
GMFB	7796	901	1261	1310	1283	1741	1807
CGRRF1	4547	179	202	209	318	427	406
SAMD4A	12170	259	304	226	868	1152	1044
AL133444.1	1007	0	0	0	0	0	0
GCH1	2925	436	508	554	278	418	371
RNU6ATAC9P	116	0	0	0	0	0	0
MIR4308	81	5	2	2	0	1	0
FDPSP3	1013	15	5	8	13	5	7
WDHD1	6386	1702	2181	2399	2098	2852	3060
RPSAP13	875	12	3	12	15	28	27
SOCS4	7044	540	675	843	754	879	1013
MAPK1IP1L	6974	3569	4210	4579	4963	5858	5851
LGALS3	2199	54	70	40	58	96	69
DLGAP5	3597	1371	1719	2287	1627	2188	2379
AL139316.1	568	0	0	0	0	0	0
AL158801.5	465	0	0	0	0	0	0
AL158801.4	459	0	0	0	0	0	0
AL158801.2	1295	1	0	1	5	2	1
FBXO34	4017	497	571	625	973	1356	1336
AL158801.1	348	0	0	0	0	0	0
CHMP4BP1	588	5	5	4	4	7	4
AL158801.3	363	0	0	0	0	0	0
ATG14	5052	568	648	613	857	1041	1096
AL356801.1	294	17	13	8	22	37	12
TBPL2	2407	0	0	0	3	0	1
RPL21P6	504	0	0	0	0	0	0
KTN1-AS1	8113	157	161	163	247	289	322
RPL7AP4	769	0	0	0	0	0	0
ABI1P1	1120	0	0	0	0	0	0
KTN1	17578	996	1351	1442	987	1492	1497
AL355773.1	459	0	1	0	1	0	0
RPL13AP3	1541	0	0	0	0	0	2
LINC00520	3482	0	0	0	0	0	0
AL163952.1	4953	3	3	2	0	1	2
AL138995.1	675	2	1	1	14	7	6
PELI2	6240	606	741	827	1373	1801	1783
AL355073.1	517	0	0	0	0	1	0
AL355073.2	557	0	1	0	1	1	0
LINC02284	4497	1	4	4	4	7	3
TMEM260	8072	308	498	362	378	617	569
AL355103.1	2226	0	0	0	0	0	0
AL161757.2	461	0	0	0	0	0	0
AL161757.5	734	0	0	0	0	0	0
AL161757.1	321	0	0	0	0	0	0
AL161757.3	807	0	0	0	0	0	0
OTX2	3272	185	195	173	2466	3109	3089
OTX2-AS1	3505	2	0	0	0	8	1
AL161757.4	2251	0	0	0	9	6	12
RN7SL461P	282	0	0	0	0	0	0
RNU6-1204P	107	0	0	0	0	2	0
AL137100.3	4598	8	11	3	19	18	21
RPL3P3	1213	0	0	1	0	0	0
AL137100.1	1620	0	0	0	0	0	0
AL137100.2	315	0	1	0	0	0	0
AL391152.1	1577	6	17	20	27	37	38
EXOC5	12472	1005	1299	1523	1275	1818	1851
AP5M1	13019	945	1234	1144	882	1136	1169
AL355834.2	2000	5	3	2	1	3	3
AL355834.1	3965	0	0	0	0	0	0
NAA30	7642	651	782	873	979	1326	1368
CCDC198	4107	0	0	0	0	0	0
SLC35F4	4240	1	1	2	5	7	8
AL161804.1	2013	1	0	2	1	3	2
AL136520.1	1322	0	0	0	0	0	2
RN7SKP99	307	0	0	0	0	0	0
AL049838.1	981	4	18	9	8	9	6
ARMH4	7565	414	475	498	430	554	498
AL121579.2	590	0	0	0	0	0	0
UBA52P3	382	0	0	0	0	0	0
RN7SL598P	294	0	0	0	0	0	0
AL121579.1	305	0	0	0	0	0	0
ACTR10	4039	495	578	627	747	976	1055
PSMA3	3107	2058	2653	2515	1783	2547	2468
AL132989.1	576	6	11	4	4	11	7
PSMA3-AS1	7409	275	348	326	522	724	690
HMGB1P14	591	0	0	0	0	0	0
AL132989.2	1126	0	0	0	0	0	0
RNU6-341P	96	3	5	5	9	6	15
ARID4A	7568	150	217	230	295	350	337
AL139021.2	399	4	1	0	0	0	1
TOMM20L	609	2	3	1	2	2	7
AL139021.1	436	1	0	0	0	3	1
TIMM9	1416	294	349	323	334	417	420
KIAA0586	15813	497	660	784	815	1021	1034
HSBP1P1	166	0	2	0	0	0	2
HNRNPCP1	766	0	0	0	0	0	0
RPL9P5	471	0	0	0	0	0	1
DACT1	4490	403	534	374	198	250	264
LINC01500	6808	0	1	0	0	0	2
AL049873.1	376	0	1	0	1	5	0
AL049873.2	498	0	1	0	0	2	0
AL359219.1	934	0	0	0	0	0	0
PPIAP5	348	0	0	0	0	0	0
DAAM1	10712	545	709	811	1208	1636	1646
GPR135	4977	15	18	16	25	25	50
L3HYPDH	3493	64	81	57	65	134	106
AL121694.1	671	0	0	0	0	0	0
JKAMP	4350	542	673	665	995	1356	1439
CCDC175	3220	2	1	5	10	10	8
RTN1	6019	29	40	30	78	125	110
MIR5586	59	0	0	0	0	0	0
AL133299.1	507	3	8	5	7	9	4
LRRC9	5372	23	20	25	21	29	37
AL157911.1	572	6	10	12	15	24	13
PCNX4	22042	827	1023	1200	1503	2096	2186
DHRS7	3249	640	763	717	804	1040	1019
SCOCP1	349	3	0	0	3	2	0
PSMA3P	635	0	0	0	0	0	0
RPL17P2	451	0	0	0	0	0	0
AL157756.1	3154	3	1	6	6	13	9
PPM1A	11907	993	1242	1305	1740	2173	2291
LINC02322	338	2	0	0	2	0	2
C14orf39	3431	19	12	18	55	72	90
RBM8B	525	7	2	1	1	1	1
GNRHR2P1	631	0	0	0	0	1	0
SALL4P7	3120	3	2	0	4	1	6
SIX6	2787	93	111	41	89	92	89
AL049874.3	868	19	22	32	19	23	24
AL049874.4	255	0	0	1	0	0	0
AL049874.2	288	0	0	0	0	0	0
AL049874.1	388	0	0	0	0	0	0
SALRNA1	2086	1	0	0	0	0	0
SIX1	5446	5	9	16	120	172	192
SIX4	6771	1077	1448	1351	1702	2218	2287
MNAT1	3877	282	372	421	500	652	671
AL132777.1	618	7	3	16	5	14	5
AL160236.2	200	0	0	0	0	0	0
SRMP2	916	0	0	0	0	0	0
TRMT5	5692	392	535	699	652	961	1033
AL160236.1	195	0	0	0	0	0	0
RNU6-398P	109	0	0	0	3	0	0
SLC38A6	5147	155	205	157	281	365	379
PRKCH	8830	451	564	500	206	230	225
TMEM30B	4471	442	492	495	95	121	132
AL359220.1	5694	0	1	0	0	0	0
AL355916.3	779	0	0	0	0	0	0
AL355916.2	4005	0	0	0	0	0	0
LINC01303	5188	1	1	0	0	2	4
AL355916.1	2861	2	3	6	0	1	2
HIF1A-AS1	652	6	3	4	7	3	6
HIF1A	5151	2840	3836	4142	3402	4734	4902
HIF1A-AS2	1852	0	1	0	6	5	5
AL137129.1	720	0	0	0	0	0	0
SNAPC1	2593	40	72	64	99	103	131
AL137918.1	1922	0	3	7	3	7	6
SYT16	15234	164	199	176	45	43	53
COX4I1P1	509	0	0	0	0	0	0
AL390816.1	322	0	0	0	0	0	0
AL390816.2	3198	0	0	0	0	0	2
LINC00643	4637	1	0	3	0	0	5
LINC00644	295	0	0	0	0	0	0
AL390816.3	1066	0	0	0	0	0	0
AL389895.1	252	0	0	0	0	0	0
ATP5F1AP4	1605	0	0	0	0	0	0
KCNH5	12313	78	137	132	72	93	92
AL137191.1	1360	0	0	0	0	0	0
PARP1P2	195	0	0	0	0	1	0
RHOJ	4082	1	5	9	4	6	4
AL049871.1	880	0	0	0	0	0	0
GPHB5	543	0	0	0	0	0	0
PPP2R5E	9184	1643	2139	2178	2313	3232	3183
